 0.4		-.1202028	  1
   0.45		-.3509282	  1
   0.5		-.5266270	  1
   0.55		-.6627707	  1
   0.6		-.7696341	  1
   0.65		-.8543614	  1
   0.7		-.9220261	  1
   0.75		-.9763357	  1
   0.8	   -1.0200556	  1
   0.9	   -1.0836422	  1
   1.0	   -1.1245385	  1
   1.1	   -1.1500562	  1
   1.2	   -1.1649342	  1
   1.3	   -1.1723459	  1
   1.35	   -1.1739627	  1
   1.39	   -1.1744517	  1
   1.40	   -1.1744744	  1
   1.401   -1.1744746	  1
   1.4011  -1.1744746	  1
   1.41	   -1.1744599	  1
   1.45	   -1.1740558	  1
   1.5	   -1.1728537	  1
   1.6	   -1.1685799	  1
   1.7	   -1.1624570	  1
   1.8	   -1.1550670	  1
   1.9	   -1.1468496	  1
   2.0	   -1.1381312	  1
   2.1	   -1.1291562	  1
   2.2	   -1.1201233	  1
   2.3	   -1.1111725	  1
   2.4	   -1.1024127	  1
   2.5	   -1.0939273	  1
   2.6	   -1.0857810	  1
   2.7	   -1.0780164	  1
   2.8	   -1.0706700	  1
   2.9	   -1.0637641	  1
   3.0	   -1.0573118	  1
   3.1	   -1.0513185	  1
   3.2	   -1.0457832	  1
   3.3	   -1.0407003	  1
   3.4	   -1.0360578	  1
   3.5	   -1.0318402	  1
   3.6	   -1.0280272	  1
   3.7	   -1.0245978	  1
   3.8	   -1.0215297	  1
   3.9	   -1.0187967	  1
   4.0	   -1.0163689	  1
   4.1	   -1.0142247	  1
   4.2	   -1.0123371	  1
   4.3	   -1.0106810	  1
   4.4	   -1.0092303	  1
   4.5	   -1.0079682	  1
   4.6	   -1.0068703	  1
   4.7	   -1.0059178	  1
   4.8	   -1.0050923	  1
   4.9	   -1.0043782	  1
   5.0	   -1.0037626	  1
   5.1	   -1.0032309	  1
   5.2	   -1.0027740	  1
   5.3	   -1.0023800	  1
   5.4	   -1.0020423	  1
   5.5	   -1.0017521	  1
   5.6	   -1.0015030	  1
   5.7	   -1.0012899	  1
   5.8	   -1.0011069	  1
   5.9	   -1.0009489	  1
   6.0	   -1.0008150	  1
   6.1	   -1.0007002	  1
   6.2	   -1.0006030	  1
   6.3	   -1.0005162	  1
   6.4	   -1.0004466	  1
   6.5	   -1.0003864	  1
   6.6	   -1.0003328	  1
   6.7	   -1.0002906	  1
   6.8	   -1.0002466	  1
   6.9	   -1.0002154	  1
   7.0	   -1.0001889	  1
   7.2	   -1.0001434	  1
   7.4	   -1.0001086	  1
   7.6	   -1.0000868	  1
   7.8	   -1.0000682	  1
   8.0	   -1.0000528	  1
   8.25	   -1.0000404	  1
   8.5	   -1.0000314	  1
   9.0	   -1.0000185	  1
   9.5	   -1.0000121	  1
  10.0	   -1.0000091	  1
   12 -1 1				  
   13 -1 1
   14 -1 1
   15 -1 1
   16 -1 1
   17 -1 1
   18 -1 1
   19 -1 1
   20 -1 1
   22 -1 1
   24 -1 1
   26 -1 1
   28 -1 1
   30 -1 1
   35 -1 1
   40 -1 1
   50 -1 1
   75 -1 1
   100 -1 1
